,Login,Namespace,Pontuação
289,KLEYTON.MIRANDA,overnascimentodecastro,3.5076
290,KLEYTON.MIRANDA.MC,overmarciliofurtado,3.5185
291,Kamily.Lima,overzonanorte,1.0035
292,Karoline.Amorim,colegiopremium,2.5033
293,Keilaantunes,alpha,3.5305
294,Kessia,colegiosete,3.505
295,Kleyton.Miranda,overzonanorte,2.0153
296,Krauss,integradaeducativa,2.5071000000000003
297,LARISSA.CRISTINA.ABEL,overabelcabral,1.5168
298,LAYANE.CRISLANE.ABEL,overabelcabral,3.5406
299,LEANDRO.GURGEL.PN,overpontanegra,1.0029
300,LEILA.MARTINS,overlimaesilva,3.5589
301,LUCAS.NASCIMENTO.PN,overpontanegra,3.5161
302,LUCIA.CRISTINA.PN,overpontanegra,2.5218
303,LUIS.FERNANDES,overjoaopessoa,2.0060000000000002
304,Lais.amaral,physicsumarizal,2.0036
305,LaisPimentel,alpha,3.5071
306,Lanuk.Silva,overzonanorte,3.5491
307,LaraRibeiro,alpha,1.5013
308,LariAngelocci,primeirodemaio,1.0011
309,LarissaEduarda,casdinhosjc,1.0011
310,Leandro.Medeiros,overzonanorte,1.0038
311,Leviosa,casdinhosjc,2.5021
312,Lidiane.Lopes,overlimaesilva,2.0058
313,LidianeFernanda,casdinhosjc,1.0017
314,Ligialozano,alpha,3.5172
315,Liliancorreia,amadeus,1.2178
316,Lima24,colegiosete,4.0056
317,Linguini,casdinhosjc,3.002
318,Luana.almeida,physicsbatistacampos,3.5374
319,Lucas.Monit,souhabilis,1.5003
320,Luciana.Santos,overzonanorte,3.0069
321,Luciana.brito,physicsumarizal,1.0002
322,Lucianafoloni,eccos,2.0462
323,Luciano.sampaio,physicsconselheirofurtado,1.0019
324,LucianoLopes,eccos,2.5249
325,Lucimar.Rodrigues,colegioflamingo,3.0017000000000005
326,Luiz.Neto,overjoaopessoa,1.0019
327,Luiz.felipe,physicsaugustomontenegro,2.0027999999999997
328,MARCIA.MORAIS.MC,overmarciliofurtado,2.5354
329,MARCO.CAPRI.UNIVERSITARIO,universitariolondrina,1.0016
330,MARCOSVINICIOS,colegioecursoprogressao,1.0309
331,MARIA.ANDRESSA.ABEL,overabelcabral,3.5023
332,MARIA.ANDRESSA.PN,overpontanegra,3.5017
333,MARIA.AUGUSTA.COORD,overmarciliofurtado,2.0083
334,MARIA.DAS.ABEL,overabelcabral,2.0019
335,MARIA.DAS.PN,overpontanegra,2.0012
336,MARIA.ROCHA,overlimaesilva,1.0093
337,MARIA.VITORIA.ABEL,overabelcabral,2.0069
338,MAXWELL.GRACILIANO.PN,overpontanegra,2.5065999999999997
339,MILENA.DE.PN,overpontanegra,2.5133
340,MOEMA.LARISSA.ABEL,overabelcabral,3.509
341,MONICA.FAGUNDES.ABEL,overabelcabral,2.0137
342,MONICA.SOUSA.MC,overmarciliofurtado,2.0219
343,MURILO.ALMEIDA.MC,overmarciliofurtado,2.5256
344,MaestraKarla,psantagema,4.0133
345,MarceloVidal,apogeustoantonio2,2.5075000000000003
346,Marcio.correa,physicsumarizal,3.5075000000000003
347,Marcoscorrea,alpha,3.5128000000000004
348,Marea,casdinhosjc,1.0026
349,Maria.Oliveira,overlimaesilva,2.5877
350,Mariliaeira,alpha,4.505599999999999
351,Markov,casdinhosjc,1.0002
352,Matheus.cadastro,sas,1.0033
353,Matinta01,adrianochan,3.5277000000000003
354,Mauricio.Alves,overzonanorte,3.0012999999999996
355,MauroCesar,acessoboqueirao,3.5238999999999994
356,MaurodeOliveira,faculdadeflamingo,3.5054
357,Maxwell.Teixeira,overzonanorte,2.516
358,Mayara.Santos,overzonanorte,1.0369
359,MayconSiqueira,casdinhosjc,1.5002
360,Mideon,sas,2.5533
361,MikaelySoares,colegiouniverso,2.0209
362,Monalizamaria,colegioecursodesafio,1.0002
363,MonallysaSilva,colegioecursodesafio,3.5016
364,MonitoriaPM,ceprimeiromundo,1.0006
365,Morty,casdinhosjc,1.0005
366,NAOMI.SANTOS.MC,overmarciliofurtado,2.0027
367,NAOMI.SUASSUNA.ABEL,overabelcabral,3.503
368,NAYANA.PSI,overabelcabral,2.5023
369,NAYANE.MEDONCA.PN,overpontanegra,2.0014
370,Naomi.Santos,overzonanorte,2.0050999999999997
371,Narrador,casdinhosjc,1.0005
372,NataliaLacerda,colegioecursoprogressao,2.5055
373,Nathan.mon.brasiliasp.br,colegiobrasilia,1.0022
374,Nema,casdinhosjc,2.5017
375,Newtinho,casdinhosjc,1.0015
376,Nikki,colegioguilhermedealmeida,2.5048000000000004
377,PAULOAFONSO,nucleocriativo,2.0091
378,PHILLIPE.CASTRO.ABEL,overabelcabral,2.5202
379,PHILLIPE.CASTRO.PN,overpontanegra,3.5131000000000006
380,PHILLIPE.LIRA,overnascimentodecastro,3.0144
381,PHILLIPE.LIRA.MC,overmarciliofurtado,2.5267999999999997
382,Pamela.Lopes,overzonanorte,2.5117000000000003
383,Patricia.Dias,overjoaopessoa,3.5114
384,Paula.silva,colegiopremium,2.5064
385,Paulapiccolo,alpha,3.5008
386,Paulo.Rocha,amadeus,4.0048
387,PedroAlcino,casdinhosjc,2.0046
388,PedroAlves2,villalobos,2.001
389,Plinio.Silva,overjoaopessoa,2.0213
390,Polianabittencourt,alpha,5.542000000000001
391,Por.adonis.cairo,portinari,1.0115
392,Por.adriana.kavouras,portinari,3.5084999999999997
393,Por.adriana.souza,portinari,3.542
394,Por.ana.celia,portinari,2.5419
395,Por.ana.oliveira,portinari,3.5319000000000003
396,Por.anderson.abbehusen,portinari,4.504
397,Por.andre.luis,portinari,5.0064
398,Por.andre.luiz,portinari,3.0181000000000004
399,Por.bruno.fernandes,portinari,3.5206999999999997
400,Por.carla.chirlane,portinari,3.5262000000000002
401,Por.carlos.humberto,portinari,2.5149999999999997
402,Por.cecil.pergentino,portinari,2.5163
403,Por.claudia.medrado,portinari,2.5199
404,Por.daniela.maria,portinari,3.503
405,Por.eduardo.augusto,portinari,3.5023999999999997
406,Por.eduardo.ricardo,portinari,2.5035
407,Por.feliciano.fortunato,portinari,3.5395000000000003
408,Por.fernanda.castro,portinari,2.5258000000000003
409,Por.gabriel.morais,portinari,2.0273000000000003
410,Por.helder.marcondes,portinari,3.5387999999999997
411,Por.hildeberto.silva,portinari,3.5039
412,Por.iran.souza,portinari,4.5207999999999995
413,Por.israel.adriao,portinari,1.0001
414,Por.joao.fabio,portinari,3.0192000000000005
