,namespace,segmento,Media de Conteúdos estudados
242,mariliamattoso,fundmental_um,227.59
243,mariliamattoso,infantil,12.57
244,master,fundamental_dois,3.35
245,master,fundmental_um,3.94
246,melquiadescamelo,fundmental_um,4.0
247,moaciralves,fundamental_dois,32.45
248,mocinhagomes,fundamental_dois,17.88
249,monsenhorfrancisco,fundmental_um,2.0
250,monsenhorfrancisco,infantil,5.5
251,monsenhorgoncalo,fundmental_um,5.46
252,monsenhorgoncalo,infantil,6.25
253,montessori,em,1.2
254,motiva,em,3.0
255,motiva,fundamental_dois,19.0
256,navegasas,em,3.67
257,novotempo,em,1.5
258,novotempo,fundamental_dois,1.42
259,novotempo,fundmental_um,4.56
260,nsfatima,fundmental_um,19.41
261,nsfatima,infantil,6.27
262,nucleocriativo,em,18.0
263,nucleocriativo,fundamental_dois,30.64
264,nucleocriativo,fundmental_um,29.99
265,nucleocriativo,infantil,5.71
266,objetivolorena,em,255.53
267,objetivolorena,fundamental_dois,335.28
268,objetivolorena,fundmental_um,235.88
269,objetivoteresina,fundamental_dois,6.0
270,oficinadoestudante,em,62.32
271,oficinadoestudante,fundamental_dois,78.13
272,oficinadoestudante,fundmental_um,90.78
273,overabelcabral,em,461.39
274,overabelcabral,fundamental_dois,570.75
275,overabelcabral,fundmental_um,202.09
276,overabelcabral,infantil,24.92
277,overjoaopessoa,em,48.43
278,overjoaopessoa,fundamental_dois,54.36
279,overlimaesilva,fundmental_um,165.12
280,overmarciliofurtado,em,508.52
281,overmarciliofurtado,fundamental_dois,577.47
282,overmossoro,em,215.77
283,overmossoro,fundamental_dois,215.88
284,overmossoro,fundmental_um,53.57
285,overnascimentodecastro,em,211.14
286,overpontanegra,em,377.96
287,overpontanegra,fundamental_dois,476.45
288,overpontanegra,fundmental_um,179.72
289,overzonanorte,em,383.05
290,overzonanorte,fundamental_dois,475.36
291,overzonanorte,fundmental_um,158.96
292,palmares,fundamental_dois,26.0
293,pauloviana,fundamental_dois,1.6
294,pedrocamelo,fundmental_um,6.33
295,physicsalcindocacela,em,56.7
296,physicsalcindocacela,fundamental_dois,48.95
297,physicsalmirantebarroso,em,121.24
298,physicsalmirantebarroso,fundamental_dois,194.23
299,physicsalmirantebarroso,fundmental_um,315.96
300,physicsaugustomontenegro,em,95.74
301,physicsaugustomontenegro,fundamental_dois,170.61
302,physicsaugustomontenegro,fundmental_um,341.96
303,physicsaugustomontenegro,infantil,130.33
304,physicsbatistacampos,fundamental_dois,260.81
305,physicsbatistacampos,fundmental_um,301.4
306,physicscidadenova,em,110.42
307,physicscidadenova,fundamental_dois,212.44
308,physicscidadenova,fundmental_um,276.5
